Meter Number,Office,n_points,start_time,end_time,final_score_max,final_score_mean,point_iforest_max,dist_iforest,temp_iforest
MMF2420601016937,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,80.88360904462898,65.79218814533768,100.0,83.58354610973315,73.41824681187398
KFM2120660242546,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,80.8345220476002,58.73837613477917,100.0,100.0,82.23012515938278
KFM2020660183016,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,80.81109495357835,57.47282242077892,100.0,100.0,82.07315322352578
SMR2420661037131,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,80.72010982217182,66.5312851137208,100.0,90.73368323698557,100.0
SMR2220661014801,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,80.6592975775126,70.84379922289618,100.0,100.0,81.06195602393402
KFM2120660237931,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,80.65367721044399,67.13127603705179,100.0,90.51224855349604,100.0
KFM2020660182037,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,80.45182280256702,57.82616894112888,100.0,89.83939717368735,100.0
MMF2420601019766,3410,96,2026-02-01 00:00:00,2026-02-01 23:45:00,80.31968226576161,78.3007734246189,100.0,98.87344957642203,81.05077702219886
SMR2420661042766,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,80.24661034670882,70.99765263829049,100.0,89.1553568552938,100.0
MMF2320601008365,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,80.23379070296654,60.67247096622086,96.56678205611739,84.22846259330625,8.580272222463204
SMR2420668001840,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,79.91878459334693,62.30640972569291,100.0,94.83902184888883,86.4471473671683
SMR2420661037132,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,79.91736784137204,69.30898992663899,100.0,100.0,76.11576751084395
SMR2420661037168,3440,96,2026-02-01 00:00:00,2026-02-01 23:45:00,79.85260115051351,64.57301879611012,100.0,100.0,75.68396154643577
SMR2420668001996,3420,96,2026-02-01 00:00:00,2026-02-01 23:45:00,79.80170333488867,69.03728880061225,100.0,61.59754027225945,42.14960835473885
